Exp,Cell,TimeMin,Signal,Smoothed,Pred,State,Threshold
enhDOWN_raw,0,0.0,0.114,0.050863000708910436,0.115,0.0,0.23
enhDOWN_raw,0,0.3333333333333333,0.2115,0.17459665527529658,0.115,0.0,0.23
enhDOWN_raw,0,0.6666666666666666,0.1385,0.18470388985673267,0.115,0.0,0.23
enhDOWN_raw,0,1.0,0.0835,0.108945215459986,0.115,0.0,0.23
enhDOWN_raw,0,1.3333333333333333,0.043,0.05364392999415933,0.115,0.0,0.23
enhDOWN_raw,0,1.6666666666666667,0.1395,0.0891536673715104,0.115,0.0,0.23
enhDOWN_raw,0,2.0,0.1325,0.1491013441863625,0.115,0.0,0.23
enhDOWN_raw,0,2.3333333333333335,0.021,0.0704909875226616,0.115,0.0,0.23
enhDOWN_raw,0,2.6666666666666665,0.113,0.05401095584646348,0.115,0.0,0.23
enhDOWN_raw,0,3.0,0.206,0.1565734605155127,0.115,0.0,0.23
enhDOWN_raw,0,3.3333333333333335,0.3455,0.30116761615949866,0.115,0.0,0.23
enhDOWN_raw,0,3.6666666666666665,0.0365,0.19353029766434446,0.115,0.0,0.23
enhDOWN_raw,0,4.0,0.137,0.07169139138273442,0.115,0.0,0.23
enhDOWN_raw,0,4.333333333333333,0.066,0.09760055080368991,0.115,0.0,0.23
enhDOWN_raw,0,4.666666666666667,0.227,0.14970248368055294,0.115,0.0,0.23
enhDOWN_raw,0,5.0,0.1065,0.18221468940975055,0.115,0.0,0.23
enhDOWN_raw,0,5.333333333333333,0.022,0.05152224593773319,0.115,0.0,0.23
enhDOWN_raw,0,5.666666666666667,0.104,0.05998940886344368,0.115,0.0,0.23
enhDOWN_raw,0,6.0,0.0665,0.09174664729350027,0.115,0.0,0.23
enhDOWN_raw,0,6.333333333333333,0.0445,0.045533856431048375,0.115,0.0,0.23
enhDOWN_raw,0,6.666666666666667,0.1645,0.09689977648384016,0.115,0.0,0.23
enhDOWN_raw,0,7.0,0.263,0.22692832708355706,0.115,0.0,0.23
enhDOWN_raw,0,7.333333333333333,0.175,0.23075476663546776,0.115,0.0,0.23
enhDOWN_raw,0,7.666666666666667,0.0885,0.12769295552460105,0.115,0.0,0.23
enhDOWN_raw,0,8.0,0.065,0.06850054190546007,0.115,0.0,0.23
enhDOWN_raw,0,8.333333333333334,0.108,0.08077201232235455,0.115,0.0,0.23
enhDOWN_raw,0,8.666666666666666,0.1745,0.1435304444345008,0.115,0.0,0.23
enhDOWN_raw,0,9.0,0.182,0.18973306472703458,0.115,0.0,0.23
enhDOWN_raw,0,9.333333333333334,0.0675,0.1285359635157301,0.115,0.0,0.23
enhDOWN_raw,0,9.666666666666666,0.015,0.028454020718843735,0.115,0.0,0.23
enhDOWN_raw,0,10.0,0.1025,0.05124175615801571,0.115,0.0,0.23
enhDOWN_raw,0,10.333333333333334,0.167,0.12986020862377207,0.115,0.0,0.23
enhDOWN_raw,0,10.666666666666666,0.333,0.2694400749937907,0.115,0.0,0.23
enhDOWN_raw,0,11.0,0.0905,0.2210623588153265,0.115,0.0,0.23
enhDOWN_raw,0,11.333333333333334,0.11,0.08854104520584231,0.115,0.0,0.23
enhDOWN_raw,0,11.666666666666666,0.051,0.054226741751618346,0.115,0.0,0.23
enhDOWN_raw,0,12.0,0.486,0.28041504109767756,0.115,1.0,0.23
enhDOWN_raw,0,12.333333333333334,0.24,0.40375231625695107,0.3922151898734177,0.0,0.23
enhDOWN_raw,0,12.666666666666666,0.0295,0.1123114960335605,0.115,0.0,0.23
enhDOWN_raw,0,13.0,0.141,0.07160202143403091,0.115,0.0,0.23
