Enh,Replica,Cell,Deg,NPeaks,MeanTON,MeanToff,ActTime,MeanFluor,Nbursts
enhDOWN_interp,0,0,339.24050632911394,1,1.0,,1.0,130.84411633109661,1
enhDOWN_interp,0,1,268.3544303797468,4,1.75,17.0,58.0,177.34478747203644,4
enhDOWN_interp,0,2,224.0506329113924,9,2.4444444444444446,4.625,59.0,350.4239373601776,9
enhDOWN_interp,0,3,197.46835443037975,10,2.1,4.222222222222222,59.0,260.6753691275167,10
enhDOWN_interp,0,4,108.86075949367088,9,1.4444444444444444,12.75,115.0,210.0792617449663,9
enhDOWN_interp,0,5,259.49367088607596,7,2.142857142857143,14.5,102.0,244.70769574944075,7
enhDOWN_interp,0,6,339.24050632911394,3,2.0,30.5,67.0,199.69398210290848,3
enhDOWN_interp,0,7,294.9367088607595,13,2.6923076923076925,4.153846153846154,89.0,550.691677852349,13
enhDOWN_interp,0,8,250.63291139240505,5,1.8,5.0,29.0,210.8526398210289,5
enhDOWN_interp,0,9,277.21518987341767,8,1.625,4.571428571428571,45.0,217.1915659955257,8
enhDOWN_interp,0,10,259.49367088607596,8,2.25,10.571428571428571,92.0,285.38702460850095,8
enhDOWN_interp,0,11,330.37974683544303,3,2.3333333333333335,12.333333333333334,44.0,203.80183445190104,3
enhDOWN_interp,0,12,356.96202531645565,7,2.142857142857143,10.333333333333334,77.0,279.388008948546,7
enhDOWN_interp,0,13,250.63291139240505,8,2.375,8.875,90.0,340.27986577181224,8
enhDOWN_interp,0,14,144.30379746835442,8,3.25,7.0,82.0,404.28364653243875,8
enhDOWN_interp,0,15,144.30379746835442,7,1.5714285714285714,11.5,80.0,193.9770469798655,7
enhDOWN_interp,0,16,294.9367088607595,12,2.1666666666666665,4.636363636363637,77.0,470.11337807606276,12
enhDOWN_interp,0,17,286.0759493670886,4,2.5,18.333333333333332,65.0,194.3419239373604,4
enhDOWN_interp,0,18,224.0506329113924,7,1.7142857142857142,8.285714285714286,70.0,243.3167561521248,7
enhDOWN_interp,0,19,259.49367088607596,12,2.5,5.7272727272727275,93.0,403.7306040268458,12
enhDOWN_interp,0,20,153.1645569620253,5,2.2,3.25,24.0,202.92091722595094,5
enhDOWN_interp,0,21,356.96202531645565,12,2.1666666666666665,5.7272727272727275,89.0,404.89612975391503,12
enhDOWN_interp,0,22,339.24050632911394,13,2.6153846153846154,7.083333333333333,119.0,633.824451901566,13
enhDOWN_interp,0,23,162.0253164556962,10,2.4,6.444444444444445,82.0,318.3888143176733,10
enhDOWN_interp,0,24,418.98734177215186,6,1.3333333333333333,22.0,118.0,207.33064876957505,6
enhDOWN_interp,0,25,197.46835443037975,8,2.625,7.0,70.0,367.24525727069323,8
enhDOWN_interp,0,26,100.0,6,2.5,10.4,67.0,212.99514541387066,6
enhDOWN_interp,0,27,294.9367088607595,7,1.5714285714285714,8.714285714285714,72.0,206.8543624161074,7
enhDOWN_interp,0,28,188.60759493670884,5,1.2,11.25,51.0,160.71919463087232,5
enhDOWN_interp,0,29,294.9367088607595,4,1.75,5.0,22.0,193.3161744966442,4
enhDOWN_interp,0,30,197.46835443037975,6,1.6666666666666667,8.2,51.0,215.82328859060416,6
enhDOWN_interp,0,31,144.30379746835442,8,1.625,5.857142857142857,54.0,196.379395973156,8
enhDOWN_interp,0,32,117.72151898734177,4,1.5,10.666666666666666,38.0,167.04458612975387,4
enhDOWN_interp,0,33,241.77215189873417,3,1.0,35.0,73.0,184.47606263982044,3
enhDOWN_interp,0,34,268.3544303797468,10,1.9,12.333333333333334,130.0,277.5658165548097,10
enhDOWN_interp,0,35,197.46835443037975,8,2.25,8.714285714285714,79.0,311.44064876957475,8
enhDOWN_interp,0,36,268.3544303797468,5,3.2,3.5,30.0,367.7822147651008,5
enhDOWN_interp,0,37,108.86075949367088,5,1.4,11.25,52.0,188.09147651006714,5
enhDOWN_interp,0,38,197.46835443037975,6,3.3333333333333335,8.666666666666666,72.0,403.0093736017893,6
enhDOWN_interp,0,39,117.72151898734177,6,1.6666666666666667,8.8,54.0,168.4756823266218,6
enhDOWN_interp,0,40,170.88607594936707,11,1.5454545454545454,8.9,106.0,258.5091722595083,11
enhDOWN_interp,0,41,268.3544303797468,11,2.3636363636363638,4.3,69.0,414.9872035794184,11
enhDOWN_interp,0,42,427.8481012658228,7,2.142857142857143,11.714285714285714,97.0,330.2858165548101,7
enhDOWN_interp,0,43,569.620253164557,11,1.8181818181818181,5.7,77.0,386.72348993288597,11
enhDOWN_interp,0,44,179.74683544303798,4,1.5,15.0,51.0,226.91248322147652,4
enhDOWN_interp,0,45,188.60759493670884,4,1.75,12.0,43.0,208.56225950782996,4
enhDOWN_interp,0,46,108.86075949367088,11,2.4545454545454546,5.6,83.0,288.9233557046983,11
enhDOWN_interp,0,47,481.0126582278481,9,1.4444444444444444,10.125,94.0,281.89469798657774,9
enhDOWN_interp,0,48,153.1645569620253,10,2.6,8.222222222222221,100.0,361.37496644295317,10
enhDOWN_interp,0,49,472.15189873417717,8,1.625,9.285714285714286,78.0,265.73123042505586,8
enhDOWN_interp,0,50,489.87341772151893,12,1.75,6.0,87.0,427.83570469798724,12
enhDOWN_interp,0,51,188.60759493670884,4,1.75,12.0,43.0,184.93322147651003,4
enhDOWN_interp,0,52,348.1012658227848,8,1.5,5.0,52.0,225.23266219239346,8
enhDOWN_interp,0,53,100.0,10,2.9,7.444444444444445,96.0,409.79355704698065,10
enhDOWN_interp,0,54,170.88607594936707,9,2.3333333333333335,5.75,67.0,355.86465324384807,9
enhDOWN_interp,0,55,339.24050632911394,1,4.0,,4.0,171.69968680089593,1
enhDOWN_interp,0,56,401.2658227848101,3,2.6666666666666665,11.0,30.0,220.17161073825488,3
enhDOWN_interp,0,57,250.63291139240505,13,2.6153846153846154,6.083333333333333,107.0,526.0947427293071,13
enhDOWN_interp,0,58,135.44303797468353,2,1.5,13.0,16.0,151.89454138702465,2
enhDOWN_interp,0,59,286.0759493670886,5,2.4,7.25,41.0,231.99821029082784,5
enhDOWN_interp,0,60,224.0506329113924,4,2.5,3.6666666666666665,21.0,205.36454138702513,4
enhDOWN_interp,0,61,286.0759493670886,6,2.5,14.0,99.0,274.8657270693512,6
enhDOWN_interp,0,62,702.5316455696202,12,1.8333333333333333,6.636363636363637,95.0,553.4784787472041,12
enhDOWN_interp,0,63,100.0,3,3.3333333333333335,3.5,17.0,167.65469798657722,3
enhDOWN_interp,0,64,321.5189873417721,10,2.0,6.777777777777778,81.0,291.0759060402685,10
enhDOWN_interp,0,65,259.49367088607596,12,2.3333333333333335,5.7272727272727275,91.0,406.2887919463082,12
enhDOWN_interp,0,66,321.5189873417721,11,1.5454545454545454,8.7,104.0,290.5663087248322,11
enhDOWN_interp,0,67,153.1645569620253,13,3.230769230769231,7.083333333333333,127.0,528.009552572707,13
enhDOWN_interp,0,68,188.60759493670884,6,1.8333333333333333,5.666666666666667,45.0,211.75134228187923,6
enhDOWN_interp,0,69,153.1645569620253,13,3.230769230769231,3.5833333333333335,85.0,706.2012080536913,13
enhDOWN_interp,0,70,401.2658227848101,5,1.6,12.8,72.0,249.13532438478742,5
enhDOWN_interp,0,71,294.9367088607595,7,2.857142857142857,9.166666666666666,75.0,434.37655480984336,7
enhDOWN_interp,0,72,153.1645569620253,8,1.75,6.714285714285714,61.0,209.46868008948587,8
enhDOWN_interp,0,73,303.79746835443035,2,1.0,3.0,5.0,145.3721923937358,2
enhDOWN_interp,0,74,259.49367088607596,7,1.2857142857142858,10.166666666666666,70.0,195.93458612975394,7
enhDOWN_interp,0,75,401.2658227848101,13,2.4615384615384617,4.083333333333333,81.0,579.7973825503358,13
enhDOWN_interp,0,76,294.9367088607595,9,2.0,9.375,93.0,294.43686800894864,9
enhDOWN_interp,0,77,224.0506329113924,10,2.5,5.1,76.0,392.7104697986577,10
enhDOWN_interp,0,78,489.87341772151893,7,2.142857142857143,5.666666666666667,49.0,297.92856823266175,7
enhDOWN_interp,0,79,162.0253164556962,6,1.5,7.2,45.0,189.9322595078299,6
enhDOWN_interp,0,80,348.1012658227848,1,1.0,,1.0,144.68494407158786,1
enhDOWN_interp,0,81,197.46835443037975,11,2.090909090909091,7.6,99.0,303.8955257270693,11
enhDOWN_interp,0,82,472.15189873417717,9,2.4444444444444446,8.875,93.0,457.78946308724795,9
enhDOWN_interp,0,83,348.1012658227848,6,3.0,12.0,78.0,353.30510067114153,6
enhDOWN_interp,0,84,543.0379746835442,10,2.5,6.444444444444445,83.0,582.9428859060406,10
enhDOWN_interp,0,85,330.37974683544303,8,2.25,14.142857142857142,117.0,351.0077404921695,8
enhDOWN_interp,0,86,197.46835443037975,9,2.4444444444444446,5.555555555555555,72.0,352.1875615212525,9
enhDOWN_interp,0,87,543.0379746835442,10,2.5,6.444444444444445,83.0,581.7928859060406,10
enhDOWN_interp,0,88,330.37974683544303,10,2.3,10.11111111111111,114.0,306.33125279642064,10
enhDOWN_interp,0,89,330.37974683544303,9,2.3333333333333335,7.125,78.0,347.9117002237139,9
enhDOWN_interp,0,90,472.15189873417717,2,1.5,37.0,77.0,179.7861073825514,2
enhDOWN_interp,0,91,418.98734177215186,12,1.8333333333333333,6.636363636363637,95.0,402.4205816554812,12
enhDOWN_interp,0,92,277.21518987341767,6,2.0,11.0,78.0,241.35917225950786,6
enhDOWN_interp,0,93,108.86075949367088,9,2.2222222222222223,8.5,88.0,277.67543624161095,9
enhDOWN_interp,0,94,277.21518987341767,6,2.3333333333333335,6.2,45.0,268.34154362416086,6
enhDOWN_interp,0,95,268.3544303797468,9,2.111111111111111,13.875,130.0,275.43357941834455,9
enhDOWN_interp,0,96,286.0759493670886,9,2.0,7.375,77.0,367.7345190156613,9
enhDOWN_interp,0,97,286.0759493670886,12,1.5833333333333333,6.818181818181818,94.0,282.81937360178955,12
enhDOWN_interp,0,98,197.46835443037975,9,2.2222222222222223,8.125,85.0,346.72259507829943,9
enhDOWN_interp,0,99,224.0506329113924,6,3.3333333333333335,11.166666666666666,87.0,343.78809843400387,6
enhDOWN_interp,0,100,321.5189873417721,7,1.7142857142857142,6.0,48.0,261.880447427293,7
enhDOWN_interp,0,101,277.21518987341767,9,2.111111111111111,14.125,132.0,310.9358389261759,9
enhDOWN_interp,0,102,286.0759493670886,7,2.142857142857143,8.833333333333334,68.0,318.26138702460867,7
enhDOWN_interp,0,103,489.87341772151893,7,2.4285714285714284,5.833333333333333,52.0,384.8046085011187,7
enhDOWN_interp,0,104,188.60759493670884,8,2.375,6.0,61.0,273.92149888143155,8
enhDOWN_interp,0,105,569.620253164557,8,2.625,9.0,84.0,489.40651006711454,8
enhDOWN_interp,0,106,277.21518987341767,6,3.8333333333333335,14.8,97.0,361.66114093959743,6
enhDOWN_interp,0,107,135.44303797468353,7,2.5714285714285716,6.833333333333333,59.0,212.8899328859064,7
enhDOWN_interp,0,108,100.0,4,3.0,10.0,42.0,207.51355704697983,4
enhDOWN_interp,0,109,135.44303797468353,5,1.8,15.0,69.0,206.9849440715883,5
enhDOWN_interp,0,110,427.8481012658228,11,2.0,7.1,93.0,525.4321476510067,11
enhDOWN_interp,0,111,401.2658227848101,4,2.75,22.333333333333332,78.0,303.40422818791944,4
enhDOWN_interp,0,112,135.44303797468353,9,2.0,7.5,78.0,263.31387024608557,9
enhDOWN_interp,0,113,250.63291139240505,6,2.5,9.8,64.0,258.03053691275187,6
enhDOWN_interp,0,114,153.1645569620253,9,1.4444444444444444,14.25,127.0,233.28008948545911,9
enhDOWN_interp,0,115,144.30379746835442,7,2.142857142857143,9.571428571428571,82.0,256.32615212527946,7
enhDOWN_interp,0,116,162.0253164556962,15,2.6666666666666665,4.642857142857143,105.0,422.1165100671138,15
enhDOWN_interp,0,117,108.86075949367088,7,1.8571428571428572,5.333333333333333,45.0,191.53465324384786,7
enhDOWN_interp,0,118,268.3544303797468,7,1.5714285714285714,13.333333333333334,91.0,270.7918120805359,7
enhDOWN_interp,0,119,356.96202531645565,6,1.5,12.166666666666666,82.0,220.78375838926266,6
enhDOWN_interp,0,120,224.0506329113924,6,2.3333333333333335,7.4,51.0,324.0679418344518,6
enhDOWN_interp,0,121,135.44303797468353,12,2.25,7.545454545454546,110.0,307.09152125279644,12
enhDOWN_interp,0,122,321.5189873417721,7,1.8571428571428572,11.5,82.0,265.7526621923941,7
enhDOWN_interp,0,123,401.2658227848101,3,1.3333333333333333,6.5,17.0,175.93469798657705,3
enhDOWN_interp,0,124,481.0126582278481,11,2.272727272727273,6.2,87.0,465.85183445190165,11
enhDOWN_interp,0,125,170.88607594936707,12,2.3333333333333335,4.909090909090909,82.0,334.37438478747185,12
enhDOWN_interp,0,126,321.5189873417721,6,3.1666666666666665,11.2,75.0,419.5237360178972,6
enhDOWN_interp,0,127,294.9367088607595,9,1.6666666666666667,8.0,79.0,250.74360178970934,9
enhDOWN_interp,0,128,286.0759493670886,14,2.4285714285714284,4.153846153846154,88.0,497.3366219239372,14
enhDOWN_interp,0,129,268.3544303797468,3,3.3333333333333335,9.5,29.0,208.9687248322147,3
enhDOWN_interp,0,130,277.21518987341767,7,2.857142857142857,4.833333333333333,49.0,312.6570917225954,7
enhDOWN_interp,0,131,321.5189873417721,11,2.090909090909091,4.9,72.0,351.0819015659953,11
enhDOWN_interp,0,132,170.88607594936707,3,3.0,32.5,74.0,190.92782997763007,3
enhDOWN_interp,0,133,135.44303797468353,9,1.5555555555555556,6.75,68.0,217.79382550335566,9
enhDOWN_interp,0,134,135.44303797468353,0,,,,151.6166890380311,0
enhDOWN_interp,0,135,356.96202531645565,6,1.3333333333333333,13.8,77.0,252.30731543624225,6
enhDOWN_interp,0,136,153.1645569620253,7,2.0,6.333333333333333,52.0,199.57563758389335,7
enhDOWN_interp,0,137,197.46835443037975,9,2.6666666666666665,7.375,83.0,322.26599552572685,9
enhDOWN_interp,0,138,294.9367088607595,12,1.8333333333333333,8.454545454545455,115.0,385.54454138702516,12
enhDOWN_interp,0,139,348.1012658227848,9,1.7777777777777777,8.75,86.0,327.6840492170028,9
enhDOWN_interp,0,140,135.44303797468353,6,1.8333333333333333,10.166666666666666,72.0,217.5977181208056,6
enhDOWN_interp,0,141,170.88607594936707,9,2.111111111111111,7.625,80.0,284.4216107382548,9
enhDOWN_interp,0,142,250.63291139240505,6,1.6666666666666667,8.6,53.0,232.28937360179015,6
enhDOWN_interp,0,143,100.0,10,2.2,3.4444444444444446,53.0,210.1549888143177,10
enhDOWN_interp,0,144,268.3544303797468,14,2.357142857142857,4.538461538461538,92.0,515.5809395973163,14
enhDOWN_interp,0,145,224.0506329113924,4,2.25,19.0,66.0,212.9347651006707,4
enhDOWN_interp,0,146,250.63291139240505,8,2.0,7.125,73.0,261.3156375838916,8
enhDOWN_interp,0,147,224.0506329113924,8,2.125,8.428571428571429,76.0,307.816599552573,8
enhDOWN_interp,0,148,197.46835443037975,9,2.4444444444444446,6.125,71.0,289.17870246084993,9
enhDOWN_interp,0,149,197.46835443037975,9,1.6666666666666667,8.5,83.0,268.54928411633125,9
enhDOWN_interp,1,0,277.21518987341767,3,2.0,10.0,26.0,185.57302013422813,3
enhDOWN_interp,1,1,286.0759493670886,6,1.6666666666666667,16.2,91.0,222.1324832214765,6
enhDOWN_interp,1,2,401.2658227848101,6,1.8333333333333333,23.0,126.0,245.3872035794191,6
enhDOWN_interp,1,3,259.49367088607596,10,1.5,12.444444444444445,127.0,287.0873154362416,10
enhDOWN_interp,1,4,144.30379746835442,3,1.6666666666666667,18.0,41.0,167.8781431767338,3
enhDOWN_interp,1,5,224.0506329113924,7,2.142857142857143,8.0,63.0,222.97257270693513,7
enhDOWN_interp,1,6,268.3544303797468,5,1.8,9.6,57.0,208.5144071588365,5
enhDOWN_interp,1,7,321.5189873417721,1,2.0,,2.0,159.57087248322097,1
enhDOWN_interp,1,8,427.8481012658228,1,1.0,,1.0,134.80051454138686,1
enhDOWN_interp,1,9,188.60759493670884,2,2.0,75.0,79.0,138.76322147651018,2
enhDOWN_interp,1,10,224.0506329113924,8,1.5,17.571428571428573,135.0,230.7906487695748,8
enhDOWN_interp,1,11,100.0,5,2.6,9.25,50.0,192.36217002237152,5
enhDOWN_interp,1,12,224.0506329113924,2,2.5,28.0,61.0,164.21955257270736,2
enhDOWN_interp,1,13,135.44303797468353,5,2.2,14.5,69.0,225.96467561521231,5
enhDOWN_interp,1,14,321.5189873417721,1,1.0,,1.0,157.79105145413857,1
enhDOWN_interp,1,15,179.74683544303798,8,2.0,14.571428571428571,118.0,263.9183445190157,8
enhDOWN_interp,1,16,418.98734177215186,1,1.0,,1.0,133.9448098434003,1
enhDOWN_interp,1,17,108.86075949367088,6,1.8333333333333333,5.2,37.0,215.4010067114095,6
enhDOWN_interp,1,18,135.44303797468353,10,2.0,12.6,146.0,311.4360626398223,10
enhDOWN_interp,1,19,268.3544303797468,8,2.25,9.285714285714286,83.0,320.1646085011188,8
enhDOWN_interp,1,20,224.0506329113924,3,1.6666666666666667,32.5,70.0,151.44557046979847,3
enhDOWN_interp,1,21,268.3544303797468,6,1.5,14.8,83.0,217.27176733780684,6
enhDOWN_interp,1,22,294.9367088607595,7,1.5714285714285714,12.5,86.0,221.92608501118525,7
enhDOWN_interp,1,23,268.3544303797468,8,2.25,9.285714285714286,83.0,340.6971364653243,8
enhDOWN_interp,1,24,800.0,5,1.4,21.75,94.0,222.33228187919477,5
enhDOWN_interp,1,25,232.91139240506328,4,1.5,22.0,72.0,181.99798657717804,4
enhDOWN_interp,1,26,100.0,4,2.25,27.25,118.0,179.26062639821083,4
enhDOWN_interp,1,27,108.86075949367088,7,2.2857142857142856,17.833333333333332,123.0,231.599373601789,7
enhDOWN_interp,1,28,321.5189873417721,4,3.25,10.333333333333334,44.0,323.66082774049227,4
enhDOWN_interp,1,29,170.88607594936707,4,3.5,19.333333333333332,72.0,252.53333333333333,4
enhDOWN_interp,1,30,224.0506329113924,4,1.0,45.333333333333336,140.0,161.9677404921706,4
enhDOWN_interp,1,31,215.18987341772151,7,1.7142857142857142,12.0,84.0,233.6073825503355,7
enhDOWN_interp,1,32,224.0506329113924,7,1.4285714285714286,9.666666666666666,68.0,182.79373601789797,7
enhDOWN_interp,1,33,153.1645569620253,2,2.0,54.0,58.0,137.43744966442935,2
enhDOWN_interp,1,34,516.4556962025316,1,3.0,,3.0,173.13827740492144,1
enhDOWN_interp,1,35,268.3544303797468,7,2.5714285714285716,13.333333333333334,98.0,284.98767337807607,7
enhDOWN_interp,1,36,224.0506329113924,1,2.0,,2.0,140.42060402684567,1
enhDOWN_interp,1,37,401.2658227848101,12,2.4166666666666665,9.272727272727273,131.0,485.0925279642058,12
enhDOWN_interp,1,38,259.49367088607596,6,1.6666666666666667,10.166666666666666,71.0,209.84883668903822,6
enhDOWN_interp,1,39,179.74683544303798,9,2.0,14.5,134.0,284.21747203579355,9
enhDOWN_interp,1,40,286.0759493670886,5,1.4,10.2,58.0,206.3010738255034,5
enhDOWN_interp,1,41,232.91139240506328,4,1.5,7.666666666666667,29.0,173.0111633109623,4
enhDOWN_interp,1,42,268.3544303797468,4,1.75,11.75,54.0,194.2410738255035,4
enhDOWN_interp,1,43,170.88607594936707,4,2.0,19.333333333333332,66.0,171.96302013422823,4
enhDOWN_interp,1,44,294.9367088607595,2,1.5,6.0,9.0,152.09044742729313,2
enhDOWN_interp,1,45,286.0759493670886,5,1.4,10.2,58.0,207.529485458613,5
enhDOWN_interp,1,46,410.126582278481,8,1.625,9.142857142857142,77.0,281.2165100671143,8
enhDOWN_interp,1,47,100.0,2,1.0,133.0,135.0,163.74293064876963,2
enhDOWN_interp,1,48,259.49367088607596,11,1.9090909090909092,7.5,96.0,307.2614765100664,11
enhDOWN_interp,1,49,135.44303797468353,3,1.0,34.5,72.0,144.55706935123,3
enhDOWN_interp,1,50,170.88607594936707,4,2.5,16.0,74.0,211.489172259508,4
enhDOWN_interp,1,51,215.18987341772151,3,1.6666666666666667,61.5,128.0,155.1534004474273,3
enhDOWN_interp,1,52,197.46835443037975,5,1.8,3.25,22.0,200.4488590604027,5
enhDOWN_interp,1,53,153.1645569620253,5,1.4,19.0,83.0,168.87912751677848,5
enhDOWN_interp,1,54,179.74683544303798,10,2.2,12.333333333333334,133.0,329.77136465324384,10
enhDOWN_interp,1,55,162.0253164556962,1,1.0,,1.0,130.33340044742715,1
enhDOWN_interp,1,56,179.74683544303798,9,2.3333333333333335,7.75,83.0,267.34344519015644,9
enhDOWN_interp,1,57,472.15189873417717,4,2.5,11.0,54.0,283.26259507829974,4
enhDOWN_interp,1,58,170.88607594936707,3,2.3333333333333335,13.0,33.0,161.00744966442952,3
enhDOWN_interp,1,59,250.63291139240505,5,2.0,18.5,84.0,204.77635346756162,5
enhDOWN_interp,1,60,153.1645569620253,3,3.6666666666666665,11.5,34.0,223.06928411633106,3
enhDOWN_interp,1,61,170.88607594936707,4,2.5,16.0,74.0,212.14711409395989,4
enhDOWN_interp,1,62,321.5189873417721,7,2.0,9.833333333333334,73.0,221.85950782997756,7
enhDOWN_interp,1,63,268.3544303797468,6,1.5,8.8,53.0,181.62252796420566,6
enhDOWN_interp,1,64,339.24050632911394,5,2.0,14.25,67.0,264.6629082774047,5
enhDOWN_interp,1,65,294.9367088607595,9,2.0,7.0,74.0,257.38230425055923,9
enhDOWN_interp,1,66,108.86075949367088,2,3.0,54.0,60.0,185.48686800894774,2
enhDOWN_interp,1,67,117.72151898734177,4,2.0,27.0,116.0,216.13742729306443,4
enhDOWN_interp,1,68,356.96202531645565,12,2.25,10.272727272727273,140.0,427.45161073825506,12
enhDOWN_interp,1,69,224.0506329113924,3,1.6666666666666667,2.0,9.0,139.72856823266227,3
enhDOWN_interp,1,70,197.46835443037975,5,1.4,27.25,116.0,197.48391498881463,5
enhDOWN_interp,1,71,197.46835443037975,3,1.6666666666666667,63.5,132.0,182.84501118568295,3
enhDOWN_interp,1,72,277.21518987341767,12,2.5,8.272727272727273,121.0,451.904317673378,12
enhDOWN_interp,1,73,144.30379746835442,4,2.5,18.333333333333332,65.0,205.6100447427291,4
enhDOWN_interp,1,74,135.44303797468353,8,2.0,6.142857142857143,59.0,219.08809843400485,8
enhDOWN_interp,1,75,170.88607594936707,3,2.3333333333333335,8.5,24.0,158.72917225950783,3
enhDOWN_interp,1,76,224.0506329113924,6,1.8333333333333333,20.0,131.0,218.1370022371366,6
enhDOWN_interp,1,77,339.24050632911394,5,1.4,19.25,84.0,203.7629753914989,5
enhDOWN_interp,1,78,321.5189873417721,7,1.5714285714285714,4.571428571428571,43.0,237.5929082774038,7
enhDOWN_interp,1,79,241.77215189873417,1,1.0,,1.0,147.9345861297538,1
