Exp,Cell,TimeMin,Signal,Smoothed,Pred,State,Threshold
enhUP_raw,0,0.0,0.182,0.10191386968572741,0.115,0.0,0.23
enhUP_raw,0,0.3333333333333333,0.009,0.10279693831051229,0.115,0.0,0.23
enhUP_raw,0,0.6666666666666666,0.0755,0.030271505885483,0.115,0.0,0.23
enhUP_raw,0,1.0,0.093,0.08792117968784721,0.115,0.0,0.23
enhUP_raw,0,1.3333333333333333,0.101,0.10451361035405758,0.115,0.0,0.23
enhUP_raw,0,1.6666666666666667,0.0,0.050051289825002516,0.115,0.0,0.23
enhUP_raw,0,2.0,0.015,-0.0009685658291993211,0.115,0.0,0.23
enhUP_raw,0,2.3333333333333335,0.048,0.03272584104674674,0.115,0.0,0.23
enhUP_raw,0,2.6666666666666665,0.043,0.047700600285491807,0.115,0.0,0.23
enhUP_raw,0,3.0,0.0415,0.04398618949623386,0.115,0.0,0.23
enhUP_raw,0,3.3333333333333335,0.008,0.011950803475473865,0.115,0.0,0.23
enhUP_raw,0,3.6666666666666665,0.21,0.11842257914859375,0.115,0.0,0.23
enhUP_raw,0,4.0,0.0275,0.1316392008528603,0.115,0.0,0.23
enhUP_raw,0,4.333333333333333,0.025,0.010040383964478873,0.115,0.0,0.23
enhUP_raw,0,4.666666666666667,0.1005,0.06678102307832182,0.115,0.0,0.23
enhUP_raw,0,5.0,0.033,0.07020122083178726,0.115,0.0,0.23
enhUP_raw,0,5.333333333333333,0.0535,0.0348144199690351,0.115,0.0,0.23
enhUP_raw,0,5.666666666666667,0.1195,0.08403062862703421,0.115,0.0,0.23
enhUP_raw,0,6.0,0.1785,0.15184781141408768,0.115,0.0,0.23
enhUP_raw,0,6.333333333333333,0.2,0.1972234924332724,0.115,0.0,0.23
enhUP_raw,0,6.666666666666667,0.134,0.17534326583043583,0.115,0.0,0.23
enhUP_raw,0,7.0,0.0235,0.07020960093241348,0.115,0.0,0.23
enhUP_raw,0,7.333333333333333,0.0925,0.049087804085465786,0.115,0.0,0.23
enhUP_raw,0,7.666666666666667,0.123,0.11691237035136094,0.115,0.0,0.23
enhUP_raw,0,8.0,0.0465,0.08735273853212544,0.115,0.0,0.23
enhUP_raw,0,8.333333333333334,0.0345,0.017703697558072082,0.115,0.0,0.23
enhUP_raw,0,8.666666666666666,0.3205,0.1951120050035595,0.115,0.0,0.23
enhUP_raw,0,9.0,0.0265,0.1607329381523077,0.115,0.0,0.23
enhUP_raw,0,9.333333333333334,0.5145,0.25358493387345676,0.115,1.0,0.23
enhUP_raw,0,9.666666666666666,0.4855,0.4873731572130759,0.43651898734177214,1.0,0.23
enhUP_raw,0,10.0,1.1745,0.860652371822308,0.7580379746835443,1.0,0.23
enhUP_raw,0,10.333333333333334,0.6665,0.9916125348197172,1.0795569620253163,0.0,0.23
enhUP_raw,0,10.666666666666666,0.2275,0.3819019827940194,0.7580379746835443,0.0,0.23
enhUP_raw,0,11.0,0.756,0.49224921947567385,0.43651898734177214,1.0,0.23
enhUP_raw,0,11.333333333333334,0.303,0.5326275242331426,0.7580379746835443,1.0,0.23
enhUP_raw,0,11.666666666666666,0.783,0.5520808158137194,1.0795569620253163,0.0,0.23
enhUP_raw,0,12.0,0.189,0.5093274530605401,0.7580379746835443,0.0,0.23
enhUP_raw,0,12.333333333333334,0.2965,0.19710206550947515,0.43651898734177214,0.0,0.23
enhUP_raw,0,12.666666666666666,0.427,0.3649595953658313,0.115,0.0,0.23
enhUP_raw,0,13.0,0.4805,0.46636835006582783,0.115,1.0,0.23
enhUP_raw,0,13.333333333333334,0.4115,0.4431328237023798,0.43651898734177214,0.0,0.23
enhUP_raw,0,13.666666666666666,0.512,0.465923378088423,0.115,0.0,0.23
enhUP_raw,0,14.0,0.374,0.4151377223979395,0.115,1.0,0.23
enhUP_raw,0,14.333333333333334,0.9135,0.6227231459555806,0.43651898734177214,1.0,0.23
